,Titlu,Titlu2,Autor,Nationalitate,GenWiki
99,Prorocul,Prorocul,Alexandr Pușkin,Rusa,poezie
100,25 de minute...,25 de minute...,Ion Luca Caragiale,Nationala,proza
101,Moș Iosif,Moș Iosif,Mihai Eminescu,Romana,proza
102,Lacul (Lamartine),Lacul,Alphonse Lamartine,Franceza,poezie
103,Proces-verbal,Proces-verbal,Ion Luca Caragiale,Nationala,proza
104,"Din periodice/Din Timpul, octombrie 1880",Din periodice,Mihai Eminescu,Romana,articol
105,Triumful talentului,Triumful talentului,Ion Luca Caragiale,Nationala,proza
106,Auzì prin frunzi uscate,Auzì prin frunzi uscate,Mihai Eminescu,Romana,poezie
107,Scrisoarea V,Scrisoarea V,Mihai Eminescu,Romana,poezie
108,Primăvara (Zamfirescu),Primăvara,Duiliu Zamfirescu,Romana,proza
109,Conu Leonida față cu reacțiunea,Conul Leonida față cu reacțiunea - Farsă într-un act,Ion Luca Caragiale,Nationala,comedie
110,La o artistă (Ca a nopții poezie),La o artistă (Ca a nopții poezie),Mihai Eminescu,Romana,poezie
111,Un trandafir,Un trandafir,Duiliu Zamfirescu,Romana,proza
112,Cântecul lăutarului,Cântecul lăutarului,Mihai Eminescu,Romana,poezie
113,D-l Goe,D-l Goe...,Ion Luca Caragiale,Nationala,proza
114,Palatul de cleștar,Palatul de cleștar,Barbu Ștefănescu-Delavrancea,Nationala,povesti
115,Ștefan cel Mare (schițe de imn),Ștefan cel Mare,Mihai Eminescu,Romana,poezie
116,Viforul,Viforul,Barbu Ștefănescu-Delavrancea,Nationala,teatru
117,Diana,Diana,Mihai Eminescu,Romana,poezie
118,Afișează o pagină aleatoare [x],Ce e amorul?,Mihai Eminescu,Romana,proza
119,Ce e amorul?,Ce e amorul?,Mihai Eminescu,Romana,poezie
120,"O, -nțelepciune ai aripi de ceară!","O, -nțelepciune ai aripi de ceară!",Mihai Eminescu,Romana,poezie
121,"Din periodice/Din Timpul, decembrie 1880",Din periodice,Mihai Eminescu,Romana,articol
122,Doină (Ce stă vântul să tot bată),Doină,Mihai Eminescu,Romana,poezie
123,Ce suflet trist...,Ce suflet trist...,Mihai Eminescu,Romana,poezie
124,Vis,Vis,Mihai Eminescu,Romana,poezie
125,Ce șoptești atât de tainic...,Ce șoptești atât de tainic...,Mihai Eminescu,Romana,poezie
126,"Ce-ți doresc eu ție, dulce Românie","Ce-ți doresc eu ție, dulce Românie",Mihai Eminescu,Romana,poezie
127,După întoarcerea la regimul de partid. Isprava,După întoarcerea la regimul de partid. Isprava,Nicolae Iorga,Nationala,amintiri
128,Ursitorile,Ursitorile,Mihai Eminescu,Romana,poezie
129,"Codrule, Măria-ta","Codrule, Măria-ta",Mihai Eminescu,Romana,poezie
130,"Colinde, colinde","Colinde, colinde!",Mihai Eminescu,Romana,poezie
131,"Colinde, colinde!","Colinde, colinde!",Mihai Eminescu,Romana,poezie
132,Copii eram noi amândoi...,Copii eram noi amândoi...,Mihai Eminescu,Romana,poezie
133,Rime alegorice,Rime alegorice,Mihai Eminescu,Romana,poezie
134,La o artistă (Credeam ieri că steaua-ți...),La o artistă (Credeam ieri că steaua-ți...),Mihai Eminescu,Romana,poezie
135,Rugăciune (Eminescu),Rugăciune,Mihai Eminescu,Romana,poezie
136,Cu gândiri și cu imagini,Cu gândiri și cu imagini,Mihai Eminescu,Romana,poezie
137,Cu mâne zilele-ți adaogi...,Cu mâne zilele-ți adaogi...,Mihai Eminescu,Romana,poezie
138,Cu penetul ca sideful,Cu penetul ca sideful,Mihai Eminescu,Romana,poezie
139,Singurătate,Singurătate,Mihai Eminescu,Romana,poezie
140,Cu pânzele-atârnate,Cu pânzele-atârnate,Mihai Eminescu,Romana,poezie
141,Cronicarul,Cronicarul,Mateiu Caragiale,Romana,poezie
142,Ecò,Ecò,Mihai Eminescu,Romana,poezie
143,Speranța,Speranța,Mihai Eminescu,Romana,poezie
144,Cum negustorii din Constantinopol,Cum negustorii din Constantinopol,Mihai Eminescu,Romana,poezie
145,Cum oceanu-ntărâtat...,Cum oceanu-ntărâtat...,Mihai Eminescu,Romana,poezie
146,Umbra lui Istrate Dabija-voievod,Umbra lui Istrate Dabija-voievod,Mihai Eminescu,Romana,poezie
147,Eugénie Grandet,Eugénie Grandet,Honoré Balzac,Nationala,proza
148,O viață de om așa cum a fost/Desăvîrșirea unui crez politic și social,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
149,Salbele,Salbele,Duiliu Zamfirescu,Romana,proza
150,Cristalografie,Cristalografie,Mihai Eminescu,Romana,poezie
151,Când amintirile...,Când amintirile...,Mihai Eminescu,Romana,poezie
152,Viața (Eminescu),Viața,Mihai Eminescu,Romana,poezie
153,Spleen (4),Spleen (4),Charles Baudelaire,Franceza,poezie
154,Când crivățul cu iarna...,Când crivățul cu iarna...,Mihai Eminescu,Romana,poezie
155,Satira I,Scrisoarea I,Mihai Eminescu,Romana,poezie
156,Scrisoarea I,Scrisoarea I,Mihai Eminescu,Romana,poezie
157,Aduceri aminte,Aduceri aminte,Alexandr Pușkin,Rusa,poezie
158,Steaua vieții,Steaua vieții,Mihai Eminescu,Romana,poezie
159,Binecuvântare,Binecuvântare,Charles Baudelaire,Franceza,poezie
160,Epigonii,Epigonii,Mihai Eminescu,Romana,poezie
161,Când privești oglinda mărei,Când privești oglinda mărei,Mihai Eminescu,Romana,poezie
162,Înger de pază,Înger de pază,Mihai Eminescu,Romana,poezie
163,Mustrare postumă,Mustrare postumă,Charles Baudelaire,Franceza,poezie
